Image,Class,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation
Image37,1,4.97,208.85,14.45,0.02,3.48,13.26,29.50,0.12,0.01,0.56,2.16,0.96
Image38,0,3.08,119.99,10.95,0.14,3.86,15.15,35.10,0.34,0.11,0.73,1.66,0.96
Image39,0,7.73,194.86,13.96,0.08,2.23,5.22,28.25,0.24,0.06,0.67,1.78,0.95
Image40,0,6.28,174.69,13.22,0.09,2.49,6.36,29.55,0.25,0.06,0.70,1.70,0.95
Image41,0,3.94,122.21,11.05,0.09,3.15,10.08,34.11,0.27,0.07,0.67,1.96,0.94
Image42,0,1.12,39.99,6.32,0.20,5.96,36.01,64.59,0.41,0.17,0.71,2.74,0.91
Image43,0,7.76,543.17,23.31,0.23,3.37,11.68,92.01,0.43,0.19,0.68,2.78,0.97
Image44,0,12.14,780.03,27.93,0.18,2.72,7.78,93.94,0.38,0.14,0.62,3.33,0.97
Image45,0,17.50,1031.96,32.12,0.12,2.22,5.27,80.37,0.31,0.09,0.58,3.20,0.98
Image46,0,20.10,1079.83,32.86,0.12,2.01,4.45,90.75,0.30,0.09,0.58,3.29,0.97
Image47,0,3.62,185.58,13.62,0.14,4.27,19.15,101.76,0.33,0.11,0.57,3.63,0.94
Image48,0,5.87,553.50,23.53,0.11,4.38,19.58,131.54,0.30,0.09,0.55,4.16,0.97
Image49,0,6.66,583.01,24.15,0.18,3.97,16.12,117.92,0.39,0.15,0.63,3.32,0.98
Image50,0,9.87,759.84,27.57,0.19,3.14,10.14,144.66,0.39,0.15,0.63,3.66,0.97
Image51,0,16.37,1098.16,33.14,0.09,2.41,6.04,133.24,0.27,0.07,0.55,3.88,0.97
Image52,1,16.65,1408.23,37.53,0.01,2.81,8.40,137.79,0.10,0.01,0.42,4.69,0.96
Image53,1,15.72,1485.61,38.54,0.01,3.04,9.78,154.33,0.07,0.01,0.39,5.38,0.96
Image54,1,13.52,1357.28,36.84,0.01,3.28,11.33,116.97,0.06,0.00,0.36,5.13,0.97
Image55,1,6.07,791.12,28.13,0.02,4.99,25.51,192.84,0.13,0.02,0.40,5.06,0.96
Image56,0,3.88,214.62,14.65,0.14,4.16,17.62,43.06,0.33,0.11,0.63,2.58,0.98
Image57,1,1.59,177.47,13.32,0.00,9.01,85.73,193.99,0.05,0.00,0.24,7.17,0.92
Image58,1,3.76,379.81,19.49,0.05,5.65,33.21,199.16,0.20,0.04,0.45,5.08,0.96
Image59,1,4.90,539.61,23.23,0.00,5.20,28.20,119.67,0.06,0.00,0.36,4.92,0.94
Image60,1,8.93,484.83,22.02,0.00,3.23,11.71,37.98,0.05,0.00,0.39,3.58,0.96
Image61,0,8.63,325.23,18.03,0.09,2.53,6.74,52.40,0.27,0.07,0.58,2.89,0.96
Image62,0,2.84,128.60,11.34,0.16,4.38,19.58,88.60,0.36,0.13,0.63,3.65,0.93
Image63,0,4.36,306.51,17.51,0.09,4.56,21.49,86.91,0.27,0.07,0.52,4.09,0.97
Image64,0,6.26,417.03,20.42,0.24,3.72,14.43,63.42,0.45,0.20,0.65,2.80,0.98
Image65,0,17.31,939.76,30.66,0.06,2.28,5.67,98.47,0.22,0.05,0.51,4.11,0.96
Image66,0,10.20,554.53,23.55,0.07,2.78,8.14,148.89,0.24,0.06,0.50,4.88,0.93
Image67,0,4.56,239.15,15.46,0.08,3.94,16.31,161.76,0.26,0.07,0.50,4.94,0.90
Image68,0,8.34,851.97,29.19,0.11,3.80,14.58,219.01,0.30,0.09,0.59,4.22,0.96
Image69,1,1.26,172.21,13.12,0.04,11.56,140.15,1187.85,0.16,0.03,0.36,16.01,0.87
Image70,0,32.97,2630.77,51.29,0.06,1.99,4.26,386.95,0.21,0.04,0.50,6.38,0.94
Image71,0,3.04,262.57,16.20,0.20,5.87,36.05,339.58,0.40,0.16,0.54,7.29,0.92
Image72,0,4.96,259.85,16.12,0.12,3.65,13.73,58.17,0.31,0.10,0.60,3.12,0.97
Image73,1,12.09,880.75,29.68,0.00,3.49,14.37,87.65,0.05,0.00,0.40,4.86,0.97
Image74,0,14.55,560.88,23.68,0.06,2.12,4.89,92.39,0.21,0.04,0.56,3.68,0.94
Image75,0,12.84,540.58,23.25,0.07,2.26,5.43,75.48,0.23,0.05,0.58,3.33,0.95
Image76,0,5.89,297.08,17.24,0.11,3.31,11.23,91.96,0.29,0.08,0.60,3.87,0.94
Image77,0,7.50,874.95,29.58,0.13,4.41,20.08,187.47,0.32,0.10,0.54,5.11,0.98
Image78,1,7.08,1126.53,33.56,0.00,5.14,26.95,202.81,0.04,0.00,0.30,7.46,0.96
Image79,1,13.19,1924.06,43.86,0.00,3.74,14.32,152.27,0.03,0.00,0.32,6.41,0.96
Image80,1,20.89,2384.71,48.83,0.00,2.85,8.38,190.64,0.06,0.00,0.35,6.83,0.96
Image81,1,0.77,164.81,12.84,0.01,16.93,289.74,138.73,0.08,0.01,0.18,8.55,0.88
Image82,1,6.57,897.34,29.96,0.01,4.79,23.10,45.64,0.06,0.00,0.38,3.76,0.76
Image83,0,2.44,222.63,14.92,0.17,6.55,44.21,382.39,0.37,0.13,0.56,7.16,0.92
Image84,0,11.65,1283.16,35.82,0.15,3.42,11.91,228.96,0.35,0.12,0.59,4.58,0.97
Image85,0,15.35,1561.47,39.52,0.19,2.94,8.91,215.73,0.40,0.16,0.63,4.20,0.97
Image86,1,4.96,818.55,28.61,0.00,6.09,37.95,94.30,0.04,0.00,0.30,5.24,0.95
Image87,1,10.02,1851.26,43.03,0.01,4.67,22.39,163.49,0.08,0.01,0.36,6.24,0.98
Image88,1,9.61,1588.09,39.85,0.01,4.52,20.94,254.26,0.08,0.01,0.37,5.87,0.96
Image89,1,0.59,90.33,9.50,0.01,16.51,277.61,88.61,0.06,0.00,0.20,6.73,0.90
Image90,0,6.22,414.43,20.36,0.28,3.75,14.67,50.65,0.49,0.24,0.69,2.42,0.98
Image91,0,12.88,752.16,27.43,0.13,2.57,6.97,103.13,0.32,0.10,0.58,3.69,0.97
Image92,0,17.99,980.68,31.32,0.07,2.22,5.27,116.17,0.24,0.06,0.53,4.19,0.96
Image93,1,6.15,472.11,21.73,0.01,4.05,17.20,88.21,0.06,0.00,0.40,4.91,0.92
Image94,1,1.56,170.39,13.05,0.01,8.78,78.96,101.53,0.07,0.00,0.32,5.73,0.95
Image95,1,4.70,499.87,22.36,0.05,5.13,27.12,128.32,0.19,0.03,0.46,4.08,0.97
Image96,1,2.55,271.72,16.48,0.08,6.79,47.32,259.60,0.24,0.06,0.52,4.68,0.95
Image97,0,3.43,252.79,15.90,0.14,4.90,24.27,223.89,0.33,0.11,0.63,4.61,0.92
Image98,0,3.60,262.15,16.19,0.10,5.06,26.50,60.41,0.28,0.08,0.55,3.67,0.98
Image99,0,5.47,385.00,19.62,0.24,4.00,16.39,51.31,0.45,0.20,0.65,2.75,0.98
Image100,0,8.96,586.01,24.21,0.15,3.13,10.17,74.85,0.35,0.12,0.61,3.44,0.98
Image101,0,13.54,811.05,28.48,0.09,2.50,6.47,77.64,0.27,0.07,0.56,3.46,0.97
Image102,0,4.19,285.71,16.90,0.28,4.67,22.62,52.38,0.49,0.24,0.68,2.74,0.98
Image103,0,11.48,670.50,25.89,0.10,2.78,8.12,55.58,0.28,0.08,0.56,3.28,0.98
Image104,0,14.09,785.33,28.02,0.15,2.43,6.36,56.21,0.35,0.12,0.58,3.34,0.98
Image105,0,5.61,348.80,18.68,0.23,3.72,14.24,59.75,0.44,0.19,0.67,2.60,0.98
Image106,0,8.78,498.79,22.33,0.18,2.97,9.19,69.75,0.38,0.15,0.62,3.12,0.97
Image107,0,13.35,645.68,25.41,0.10,2.34,5.83,55.55,0.28,0.08,0.55,3.12,0.98
Image108,0,6.97,344.25,18.55,0.11,3.10,9.90,105.06,0.29,0.08,0.54,4.34,0.94
Image109,0,2.77,150.43,12.26,0.13,4.91,24.86,133.50,0.33,0.11,0.56,4.82,0.92
Image110,0,7.01,384.85,19.62,0.23,3.26,11.22,66.89,0.43,0.19,0.65,2.86,0.97
Image111,0,12.60,641.36,25.33,0.12,2.46,6.44,76.91,0.31,0.09,0.56,3.48,0.97
Image112,0,15.01,772.44,27.79,0.15,2.26,5.54,69.63,0.35,0.12,0.59,3.37,0.98
Image113,1,11.38,993.72,31.52,0.00,3.46,13.09,69.95,0.05,0.00,0.39,4.40,0.97
Image114,1,3.20,418.36,20.45,0.02,6.83,48.10,252.34,0.11,0.01,0.36,5.70,0.95
Image115,0,6.12,539.66,23.23,0.10,4.23,18.32,115.05,0.27,0.08,0.55,4.45,0.97
Image116,0,9.01,771.75,27.78,0.18,3.53,12.90,106.51,0.38,0.15,0.62,3.61,0.98
Image117,0,13.72,1007.03,31.73,0.14,2.80,8.32,117.33,0.34,0.11,0.57,4.18,0.97
Image118,1,21.98,2075.20,45.55,0.01,2.70,7.76,191.20,0.08,0.01,0.40,5.72,0.96
Image119,0,8.71,685.81,26.19,0.09,3.42,12.07,274.21,0.27,0.07,0.53,5.62,0.93
Image120,0,11.76,1225.77,35.01,0.21,3.39,11.84,141.11,0.41,0.17,0.63,3.82,0.98
Image121,0,2.56,257.70,16.05,0.23,6.78,47.21,429.36,0.44,0.19,0.60,7.71,0.92
Image122,0,6.39,359.55,18.96,0.21,3.57,13.77,63.26,0.42,0.18,0.65,2.58,0.97
Image123,1,9.16,510.07,22.58,0.01,3.31,12.35,139.63,0.10,0.01,0.37,5.90,0.93
Image124,1,4.59,432.60,20.80,0.00,5.31,30.06,92.42,0.03,0.00,0.32,5.12,0.97
Image125,0,5.57,265.04,16.28,0.08,3.45,12.37,110.06,0.24,0.06,0.51,4.46,0.93
Image126,0,2.19,114.34,10.69,0.10,5.40,30.33,112.50,0.28,0.08,0.57,3.85,0.92
Image127,0,6.13,529.08,23.00,0.10,4.09,17.01,120.54,0.28,0.08,0.56,4.05,0.97
Image128,0,7.23,551.23,23.48,0.15,3.62,13.45,97.51,0.35,0.12,0.60,3.60,0.97
Image129,0,16.46,887.69,29.79,0.11,2.28,5.64,125.90,0.29,0.08,0.53,4.89,0.96
Image130,0,9.88,576.99,24.02,0.07,2.88,8.60,128.35,0.23,0.05,0.51,4.88,0.95
Image131,0,9.26,891.68,29.86,0.24,3.63,13.60,101.22,0.45,0.20,0.66,3.21,0.98
Image132,1,14.30,1586.09,39.83,0.01,3.31,11.40,144.07,0.09,0.01,0.39,5.28,0.97
Image133,1,23.88,2166.15,46.54,0.03,2.56,7.06,145.85,0.14,0.02,0.42,5.44,0.97
Image134,1,24.88,2224.08,47.16,0.02,2.47,6.50,139.26,0.13,0.02,0.42,5.08,0.97
Image135,1,15.96,1748.69,41.82,0.01,3.11,10.05,164.72,0.06,0.00,0.39,5.42,0.96
Image136,1,6.97,973.62,31.20,0.01,4.85,24.22,190.95,0.09,0.01,0.38,5.59,0.96
Image137,0,6.17,462.70,21.51,0.08,4.18,18.64,220.11,0.26,0.07,0.49,5.74,0.94
Image138,0,7.40,818.76,28.61,0.10,4.23,18.23,166.87,0.28,0.08,0.51,4.80,0.98
Image139,1,7.98,706.76,26.58,0.00,4.19,18.86,148.91,0.03,0.00,0.30,6.85,0.96
Image140,1,10.33,878.85,29.65,0.00,3.36,11.86,87.75,0.05,0.00,0.31,5.35,0.94
Image141,0,5.83,476.79,21.84,0.09,4.14,17.49,86.98,0.26,0.07,0.52,4.08,0.98
Image142,0,7.29,491.71,22.17,0.21,3.51,12.74,57.75,0.41,0.17,0.63,2.93,0.98
Image143,1,6.44,711.40,26.67,0.00,4.95,26.26,191.83,0.05,0.00,0.25,8.16,0.96
Image144,1,11.06,1089.15,33.00,0.00,3.80,15.77,172.69,0.04,0.00,0.30,6.89,0.96
Image145,0,1.81,129.84,11.39,0.23,6.85,48.17,208.46,0.44,0.19,0.62,5.45,0.93
Image146,0,3.70,170.45,13.06,0.13,3.94,15.88,29.96,0.32,0.10,0.64,2.03,0.98
Image147,0,5.86,298.18,17.27,0.24,3.32,11.42,50.08,0.45,0.21,0.70,2.14,0.97
Image148,0,14.10,744.32,27.28,0.10,2.34,5.79,84.93,0.28,0.08,0.57,3.22,0.97
Image149,0,17.79,941.68,30.69,0.11,2.14,5.03,97.15,0.30,0.09,0.57,3.24,0.97
Image150,1,2.48,366.79,19.15,0.00,8.11,67.59,43.06,0.04,0.00,0.27,4.67,0.97
Image151,1,4.98,852.32,29.19,0.00,6.32,41.24,79.60,0.04,0.00,0.30,5.58,0.98
Image152,1,5.43,920.95,30.35,0.00,5.98,36.80,196.26,0.06,0.00,0.29,6.34,0.96
Image153,1,3.51,520.38,22.81,0.01,6.94,49.93,227.07,0.08,0.01,0.29,6.65,0.96
Image154,0,4.06,324.44,18.01,0.11,4.71,22.48,303.04,0.29,0.08,0.60,5.31,0.91
Image155,0,6.30,661.09,25.71,0.13,4.47,20.46,80.63,0.32,0.10,0.55,4.19,0.99
Image156,0,21.74,1499.68,38.73,0.06,2.23,5.27,81.44,0.21,0.05,0.54,3.66,0.98
Image157,0,17.82,1326.89,36.43,0.06,2.46,6.28,83.06,0.22,0.05,0.56,3.73,0.98
Image158,0,11.82,967.10,31.10,0.08,3.01,9.23,77.15,0.24,0.06,0.57,3.69,0.98
Image159,0,5.47,496.37,22.28,0.11,4.49,20.63,89.01,0.30,0.09,0.54,4.51,0.98
Image160,0,4.19,291.50,17.07,0.11,4.87,25.85,89.77,0.29,0.09,0.53,4.06,0.97
Image161,0,6.81,419.17,20.47,0.22,3.48,12.74,75.96,0.43,0.18,0.64,3.13,0.97
Image162,0,10.21,586.34,24.21,0.14,2.90,8.86,72.04,0.34,0.11,0.58,3.41,0.97
Image163,0,6.05,518.67,22.77,0.10,4.21,18.18,149.51,0.28,0.08,0.55,4.41,0.97
Image164,0,8.40,668.79,25.86,0.22,3.51,12.87,125.75,0.43,0.19,0.63,3.94,0.97
Image165,0,18.79,1233.62,35.12,0.06,2.29,5.44,135.76,0.21,0.04,0.52,4.39,0.96
Image166,0,13.26,955.10,30.90,0.09,2.74,7.73,165.41,0.26,0.07,0.53,5.05,0.96
Image167,0,7.06,560.95,23.68,0.12,3.72,14.16,218.56,0.31,0.10,0.54,5.58,0.94
Image168,0,6.04,455.66,21.35,0.09,3.90,15.59,124.26,0.26,0.07,0.54,4.22,0.96
Image169,0,7.30,533.63,23.10,0.24,3.57,13.18,81.98,0.45,0.20,0.66,3.18,0.98
Image170,0,14.60,908.38,30.14,0.12,2.49,6.51,132.77,0.30,0.09,0.57,4.50,0.96
Image171,0,17.82,1054.36,32.47,0.09,2.25,5.42,123.86,0.27,0.07,0.54,4.30,0.96
Image172,0,23.26,1232.90,35.11,0.06,1.95,4.17,133.54,0.22,0.05,0.52,4.66,0.96
Image173,1,5.17,784.12,28.00,0.00,5.94,36.79,93.60,0.03,0.00,0.31,5.94,0.97
Image174,1,3.36,566.91,23.81,0.00,7.69,61.78,219.60,0.04,0.00,0.23,9.41,0.95
Image175,1,2.08,256.50,16.02,0.03,8.59,80.31,482.98,0.14,0.02,0.40,9.02,0.91
Image176,0,17.77,1488.72,38.58,0.13,2.64,7.42,136.89,0.33,0.11,0.54,5.06,0.98
Image177,1,19.85,1614.83,40.18,0.00,2.59,6.98,181.50,0.05,0.00,0.35,6.94,0.94
Image178,1,16.00,1404.38,37.48,0.00,2.91,8.78,162.67,0.04,0.00,0.36,6.19,0.95
Image179,0,14.49,1115.30,33.40,0.07,2.79,8.09,157.61,0.23,0.05,0.47,6.06,0.97
Image180,0,6.99,626.42,25.03,0.11,4.07,17.09,151.04,0.30,0.09,0.51,5.98,0.97
Image181,1,10.49,1035.77,32.18,0.00,3.52,12.83,191.68,0.04,0.00,0.35,6.42,0.89
Image182,0,17.59,1224.62,34.99,0.07,2.37,5.81,179.36,0.23,0.05,0.54,4.06,0.95
Image183,0,10.79,785.07,28.02,0.10,2.97,9.07,153.21,0.27,0.07,0.56,4.18,0.96
Image184,0,5.26,448.48,21.18,0.09,4.33,19.01,127.91,0.27,0.07,0.55,4.11,0.97
Image185,0,7.18,597.20,24.44,0.11,3.70,13.89,106.21,0.30,0.09,0.61,3.22,0.97
Image186,1,9.01,1433.54,37.86,0.00,4.71,23.10,148.47,0.03,0.00,0.33,5.84,0.97
Image187,0,14.20,842.16,29.02,0.08,2.43,6.16,96.95,0.24,0.06,0.56,3.31,0.96
Image188,0,10.03,664.73,25.78,0.08,2.94,8.85,123.29,0.24,0.06,0.51,3.94,0.96
Image189,0,4.70,348.55,18.67,0.11,4.27,18.56,171.57,0.30,0.09,0.55,4.57,0.94
Image190,0,7.06,578.68,24.06,0.11,3.79,14.64,118.70,0.30,0.09,0.58,3.46,0.97
Image191,1,10.59,1513.75,38.91,0.00,4.22,18.73,226.44,0.05,0.00,0.31,6.92,0.96
Image192,1,11.69,1671.08,40.88,0.00,4.14,18.09,167.25,0.04,0.00,0.30,6.76,0.98
Image193,1,15.14,1668.57,40.85,0.00,3.80,16.15,149.58,0.05,0.00,0.39,5.69,0.98
Image194,0,2.37,91.28,9.55,0.12,4.42,19.93,27.52,0.31,0.09,0.66,1.93,0.97
Image195,0,2.77,101.35,10.07,0.19,4.00,16.32,23.71,0.39,0.15,0.73,1.49,0.97
Image196,0,4.30,145.13,12.05,0.19,3.16,10.29,27.98,0.39,0.15,0.72,1.71,0.97
Image197,0,3.36,129.56,11.38,0.10,3.82,15.11,48.28,0.29,0.08,0.60,2.77,0.95
Image198,0,22.71,1133.06,33.66,0.06,1.92,4.03,102.65,0.21,0.05,0.49,4.35,0.96
Image199,0,18.83,1052.20,32.44,0.08,2.13,4.81,109.81,0.25,0.06,0.54,3.95,0.96
Image200,0,14.28,849.49,29.15,0.09,2.46,6.29,125.20,0.27,0.07,0.52,4.61,0.96
Image201,0,9.73,646.07,25.42,0.10,3.02,9.42,214.44,0.28,0.08,0.51,6.09,0.93
Image202,0,3.72,273.83,16.55,0.17,4.96,25.61,291.57,0.38,0.14,0.54,7.14,0.91
Image203,0,9.29,873.74,29.56,0.29,3.49,12.53,144.14,0.49,0.24,0.72,3.07,0.98
Image204,0,7.38,797.96,28.25,0.10,4.14,17.35,180.69,0.28,0.08,0.56,4.42,0.97
Image205,1,4.86,582.25,24.13,0.00,5.55,31.91,161.36,0.03,0.00,0.30,6.40,0.97
Image206,0,6.32,561.57,23.70,0.09,4.15,17.56,101.10,0.26,0.07,0.52,4.25,0.98
Image207,1,5.72,508.48,22.55,0.00,4.80,26.18,112.65,0.05,0.00,0.32,6.15,0.95
Image208,0,11.81,636.41,25.23,0.11,2.57,6.88,93.63,0.29,0.09,0.56,3.79,0.96
Image209,0,6.63,378.08,19.44,0.11,3.46,12.42,110.08,0.30,0.09,0.54,4.47,0.95
Image210,0,1.36,78.24,8.85,0.23,7.30,55.70,115.33,0.44,0.19,0.61,4.31,0.94
Image211,0,13.16,1420.35,37.69,0.23,3.18,10.38,272.28,0.44,0.19,0.65,4.35,0.97
Image212,1,10.29,463.19,21.52,0.03,3.33,13.62,55.10,0.14,0.02,0.48,3.33,0.97
Image213,1,7.77,504.97,22.47,0.00,3.95,17.49,34.15,0.06,0.00,0.42,3.32,0.98
Image214,1,4.86,315.63,17.77,0.06,4.63,23.36,76.32,0.22,0.05,0.59,2.81,0.97
Image215,0,1.40,49.80,7.06,0.27,5.30,28.55,51.19,0.48,0.23,0.71,2.22,0.93
Image216,0,4.18,173.36,13.17,0.32,3.51,12.77,21.08,0.52,0.27,0.76,1.36,0.98
Image217,0,9.34,282.86,16.82,0.12,2.21,5.26,29.77,0.30,0.09,0.61,2.22,0.97
Image218,0,5.46,331.69,18.21,0.13,3.68,13.81,72.44,0.33,0.11,0.62,2.76,0.97
Image219,1,5.40,448.43,21.18,0.11,4.54,22.46,123.98,0.29,0.09,0.53,4.24,0.97
Image220,0,17.22,745.46,27.30,0.06,2.02,4.35,98.47,0.22,0.05,0.56,3.46,0.95
Image221,0,15.44,724.51,26.92,0.06,2.16,4.88,118.10,0.22,0.05,0.56,3.89,0.94
Image222,0,11.43,603.82,24.57,0.09,2.57,6.87,131.64,0.26,0.07,0.54,4.49,0.94
Image223,0,6.74,375.97,19.39,0.11,3.33,11.43,151.46,0.29,0.08,0.52,5.27,0.93
Image224,0,1.48,85.56,9.25,0.20,6.89,49.16,199.90,0.41,0.17,0.59,5.76,0.89
Image225,0,6.48,552.90,23.51,0.14,3.93,15.62,174.09,0.34,0.11,0.63,3.58,0.96
Image226,1,15.66,1186.77,34.45,0.04,2.66,7.33,173.84,0.17,0.03,0.50,4.79,0.95
Image227,0,5.57,377.49,19.43,0.25,3.98,16.51,77.02,0.46,0.21,0.69,2.51,0.97
Image228,0,8.68,535.80,23.15,0.18,3.15,10.38,82.34,0.39,0.15,0.63,3.10,0.97
Image229,0,23.37,1207.09,34.74,0.05,1.97,4.26,140.82,0.20,0.04,0.55,3.77,0.95
Image230,0,22.22,1178.25,34.33,0.05,2.02,4.42,152.29,0.19,0.04,0.56,3.67,0.95
Image231,0,14.11,818.83,28.62,0.07,2.47,6.39,136.60,0.22,0.05,0.57,3.86,0.95
Image232,0,7.31,674.32,25.97,0.09,3.92,15.63,212.76,0.26,0.07,0.52,5.31,0.96
Image233,1,3.70,475.75,21.81,0.00,6.29,40.86,91.24,0.04,0.00,0.31,5.26,0.94
Image234,1,15.97,1139.41,33.76,0.00,2.67,7.54,118.57,0.05,0.00,0.37,5.49,0.92
Image235,0,22.25,1342.46,36.64,0.06,2.11,4.74,144.17,0.21,0.04,0.50,4.95,0.96
Image236,0,19.09,1252.39,35.39,0.06,2.30,5.53,139.66,0.22,0.05,0.51,4.84,0.96
Image237,0,7.97,596.25,24.42,0.09,3.71,14.49,194.21,0.26,0.07,0.47,6.80,0.95
Image238,0,1.83,86.90,9.32,0.14,6.64,49.99,84.53,0.34,0.12,0.54,4.09,0.93
Image239,0,4.49,272.56,16.51,0.14,4.30,20.01,97.55,0.33,0.11,0.61,3.47,0.96
Image240,0,6.78,361.73,19.02,0.21,3.39,12.21,73.76,0.42,0.17,0.66,2.79,0.97
Image241,0,11.73,643.44,25.37,0.07,2.57,6.83,130.70,0.23,0.05,0.56,4.01,0.94
Image242,0,7.38,459.65,21.44,0.11,3.27,10.93,162.04,0.29,0.09,0.59,4.37,0.94
Image243,0,3.89,249.46,15.79,0.09,4.45,20.21,92.12,0.27,0.07,0.55,3.87,0.96
Image244,0,5.40,370.23,19.24,0.31,3.90,15.61,81.74,0.51,0.26,0.71,2.74,0.97
Image245,1,19.48,1642.62,40.53,0.02,3.01,10.23,141.58,0.12,0.01,0.41,5.33,0.97
Image246,1,7.19,931.28,30.52,0.00,4.88,25.20,108.35,0.05,0.00,0.34,5.70,0.98
Image247,1,3.73,493.74,22.22,0.00,6.70,47.77,76.82,0.04,0.00,0.30,5.46,0.98
Image248,0,12.66,692.73,26.32,0.09,2.49,6.41,77.38,0.26,0.07,0.57,3.14,0.97
Image249,0,8.36,496.20,22.28,0.11,3.04,9.45,98.21,0.29,0.08,0.57,3.56,0.96
Image250,0,3.50,235.43,15.34,0.19,4.67,22.11,169.30,0.40,0.16,0.62,4.37,0.94
Image251,0,8.49,597.55,24.44,0.19,3.31,11.34,109.07,0.39,0.15,0.64,3.32,0.97
Image252,1,20.22,1499.89,38.73,0.03,2.65,7.84,101.96,0.15,0.02,0.43,4.75,0.98
Image253,0,5.23,345.87,18.60,0.08,3.91,15.56,200.87,0.25,0.06,0.53,4.94,0.92
Image254,0,8.13,549.41,23.44,0.25,3.34,11.64,75.77,0.45,0.21,0.67,2.78,0.98
Image255,0,11.90,722.99,26.89,0.15,2.69,7.61,79.46,0.35,0.12,0.61,3.29,0.98
